7zip 26.00-1
aalib 1.4rc5-19
abseil-cpp 20260107.1-1
accounts-qml-module 0.7-6
accountsservice 26.12.8-1
acl 2.3.2-1
ada 3.4.4-1
adw-gtk-theme-git 6.4.r10.g34a69db-1
adwaita-cursors 49.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 49.0-1
adwaita-icon-theme-legacy 46.2-3
afpfs-ng 0.8.2-4
aha 0.5.1-3
alsa-card-profiles 1:1.6.2-1
alsa-lib 1.2.15.3-2
alsa-plugins 1:1.2.12-5
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.15.3-1
anydesk-bin 8.0.1-1
anyrun-provider 25.12.0-1
anyrun-provider-debug 25.12.0-1
aom 3.13.3-1
appstream 1.1.2-1
appstream-glib 0.8.3-4
appstream-qt 1.1.2-1
apr 1.7.6-1
apr-util 1.6.3-2
aquamarine 0.10.0-4
archlinux-appstream-data 20260326-1
archlinux-keyring 20260323-1
argon2 20190702-6
ark 25.12.3-1
assistant 6.5.0-3
at-spi2-core 2.58.4-1
atkmm 2.28.4-1
attica 6.24.0-2
attr 2.5.2-1
audit 4.1.4-2
aurorae 6.6.3-1
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc4-1
awww 0.12.0-1
axel 2.17.14-2
ayatana-ido 0.10.4-1
ayugram-desktop-bin 6.3.10-5
ayugram-desktop-bin-debug 6.3.10-5
baloo 6.24.0-2
baloo-widgets 25.12.3-1
base 3-3
base-devel 1-2
bash 5.3.9-1
bc 1.08.2-1
bcg729 1.1.1-2
binutils 2.46-1
bison 3.8.2-8
blas 3.12.1-2
blueberry 1.4.8-2
bluedevil 1:6.6.3-1
blueman 2.4.6-2
blueprint-compiler 0.18.0-2
bluez 5.86-4
bluez-libs 5.86-4
bluez-obex 5.86-4
bluez-qt 6.24.0-2
bluez-tools 0.2.0-6
bluez-utils 5.86-4
bolt 0.9.11-1
boost-libs 1.90.0-4
breeze 6.6.3-1
breeze-cursors 6.6.3-1
breeze-gtk 6.6.3-1
breeze-icons 6.24.0-1
breeze-plus 6.2.5-1
brightnessctl 0.5.1-3
brotli 1.2.0-1
bubblewrap 0.11.1-1
bzip2 1.0.8-6
c-ares 1.34.6-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.122-1
ca-certificates-utils 20240618-1
cabextract 1.11-2
cairo 1.18.4-1
cairomm 1.14.5-3
cairomm-1.16 1.18.0-2
capt-src 2.71-7
catppuccin-cursors-mocha 2.0.0-1
catppuccin-gtk-theme-mocha 1.0.3-1
cava 0.10.7-1
cblas 3.12.1-2
cdparanoia 10.2-9
cfitsio 1:4.6.3-1
chrpath 0.18-1
cifs-utils 7.5-1
clang 22.1.2-1
cli11 2.6.2-1
clinfo 3.0.23.01.25-1
cliphist 1:0.7.0-2
clucene 2.3.3.4-17
cmake 4.3.1-1
colord 1.4.8-1
colord-gtk-common 0.3.1-1
colord-gtk4 0.3.1-1
compiler-rt 22.1.2-1
composefs 1.0.8-1
containerd 2.2.2-1
convertlit 1.8-13
coreutils 9.10-1
cppdap 1.58.0-3
cpptrace 1.0.4-1
cpptrace-debug 1.0.4-1
cracklib 2.10.3-1
cryptsetup 2.8.6-1
cuda 13.2.0-1
cudnn 9.20.0.48-1
cups 2:2.4.16-2
cups-filters 2.0.1-2
cups-pdf 3.0.2-1
cups-pk-helper 0.2.7-2
curl 8.19.0-1
darkly-bin 0.5.37-1
dart-sass 1.99.0-1
dav1d 1.5.3-1
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-glib 0.114-1
dbus-units 37-3
dconf 0.49.0-1
ddcutil 2.2.6-1
debugedit 5.2-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.39-1
diffutils 3.12-2
discord 1:0.0.131-1
discount 3.0.1.2-1
discover 6.6.3-1
dkms 3.4.0-1
dmidecode 3.7-1
docbook-xml 4.5-11
docbook-xsl 1.79.2-9
docker 1:29.3.1-1
docker-compose 5.1.1-1
dolphin 25.12.3-1
double-conversion 3.4.0-1
drkonqi 6.6.3-1
duktape 2.7.0-7
dunst 1.13.2-1
e2fsprogs 1.47.4-1
ebook-tools 0.2.2-9
editorconfig-core-c 0.12.10-1
efibootmgr 18-3
efivar 39-1
egl-gbm 1.1.3-1
egl-wayland 4:1.1.21-1
egl-wayland2 1.0.1-1
egl-x11 1.0.5-1
eglexternalplatform 1.2.1-1
eigen 5.0.1-2
electron39 39.5.2-1
elfutils 0.194-2
enchant 2.8.15-2
evtest 1.36-1
exempi 2.6.6-3
exiv2 0.28.8-2
expat 2.7.5-1
extra-cmake-modules 6.24.0-1
eza 0.23.4-3
