adw-gtk-theme-git 6.4.r10.g34a69db-1
anydesk-bin 8.0.1-1
anyrun-provider 25.12.0-1
anyrun-provider-debug 25.12.0-1
assistant 6.5.0-3
ayugram-desktop-bin 6.3.10-5
ayugram-desktop-bin-debug 6.3.10-5
blueberry 1.4.8-2
breeze-plus 6.2.5-1
capt-src 2.71-7
catppuccin-cursors-mocha 2.0.0-1
catppuccin-gtk-theme-mocha 1.0.3-1
cpptrace 1.0.4-1
cpptrace-debug 1.0.4-1
darkly-bin 0.5.37-1
figma-linux 0.11.5-0
gnome-bluetooth 3.34.5+r16+g61cfff1c-3
gnome-bluetooth-debug 3.34.5+r16+g61cfff1c-3
gradience 0.4.1_patch1-2
gtk2 2.24.33-5
gtk2-debug 2.24.33-5
html2markdown 2.5.0-1
html2markdown-debug 2.5.0-1
hyprgraphics-git-debug 0.5.0.r7.g7d63c04-1
hyprlang-git-debug 0.6.8.r5.g7615ee3-1
hyprutils-git-debug 0.11.1.r2.g762166b-1
hyprwayland-scanner-git-debug 0.4.5.r5.g0a692d4-1
illogical-impulse-audio 1.0-1
illogical-impulse-backlight 1.0-1
illogical-impulse-basic 1.0-1
illogical-impulse-bibata-modern-classic-bin 2.0.6-1
illogical-impulse-fonts-themes 1.0-1
illogical-impulse-gnome 1.0-2
illogical-impulse-gtk 1.0-1
illogical-impulse-hyprland 1.0-4
illogical-impulse-kde 1.0-2
illogical-impulse-microtex-git r494.0e3707f-2
illogical-impulse-microtex-git-debug r494.0e3707f-2
illogical-impulse-portal 1.0-2
illogical-impulse-python 1.0-1
illogical-impulse-quickshell-git 0.1.0.r1-6
illogical-impulse-screencapture 1.0-1
illogical-impulse-toolkit 1.0-2
illogical-impulse-widgets 1.0-6
kvantum-theme-whitesur-git r151.1e4d960-1
lib32-libxml2-legacy 2.13.9-2
lib32-libxml2-legacy-debug 2.13.9-2
libglade 2.6.4-9
libglade-debug 2.6.4-9
mpvpaper 1.8-1
mpvpaper-debug 1.8-1
neofetch 7.1.0-2
otf-space-grotesk 2-2
papirus-folders-catppuccin-git r30.f83671d1-2
python-anyascii 0.3.3-1
python-material-color-utilities 0.1.5-1
python-yapsy-git release_Yapsy.1.12.2.r17.g6b487b0-1
pywal-discord-git r100.6f968df-1
qt6-avif-image-plugin 0.10.1-1
spicetify-cli 2.43.1-2
spicetify-cli-debug 2.43.1-2
spotify 1:1.2.86.502-1
spotify-adblock 1:1.0.3-2
spotify-tray-git-debug 1.3.2.r15.g6965ff0-1
ttf-gabarito-git v1.000.r8.g1f3fb39-1
ttf-material-symbols-variable-git 4.0.0.r150.gf2749dae-1
ttf-readex-pro 1.204-2
ttf-rubik-vf 2.3.0-3
ttf-twemoji 17.0.2-3
tty-clock 2.3-2
tty-clock-debug 2.3-2
upscayl-bin 2.15.0-8
visual-studio-code-bin 1.113.0-1
winboat-bin 0.9.0-1
wlogout 1.2.2-0
wlogout-debug 1.2.2-0
xboxdrv 0.8.14-1
xone-dkms-git 0.5.8.r0.gf2aa9fe-1
xone-dongle-firmware 2.0.0-1
yay-bin 12.5.7-1
yay-bin-debug 12.5.7-1
zen-browser-bin 1.19.8b-1
