7zip 26.00-1
ada 3.4.4-1
anydesk-bin 8.0.1-1
ark 25.12.3-1
assistant 6.5.0-3
ayugram-desktop-bin 6.3.10-5
base 3-3
base-devel 1-2
blueman 2.4.6-2
bluez-utils 5.86-4
capt-src 2.71-7
catppuccin-cursors-mocha 2.0.0-1
catppuccin-gtk-theme-mocha 1.0.3-1
chrpath 0.18-1
cups 2:2.4.16-2
cups-pdf 3.0.2-1
discord 1:0.0.131-1
docker 1:29.3.1-1
docker-compose 5.1.1-1
dunst 1.13.2-1
efibootmgr 18-3
evtest 1.36-1
fastfetch 2.61.0-1
ffmpegthumbs 25.12.3-1
figma-linux 0.11.5-0
fzf 0.71.0-1
ghostscript 10.07.0-1
git 2.53.0-1
github-cli 2.89.0-1
grub 2:2.14-1
gsfonts 20200910-6
gst-plugin-pipewire 1:1.6.2-1
gtk2 2.24.33-5
hydra 9.6-1
hyprgraphics 0.5.0-3
hyprland-protocols 0.7.0-1
hyprlang 0.6.8-3
hyprlock 0.9.3-2
hyprpolkitagent 0.1.3-6
hyprutils 0.12.0-1
hyprwayland-scanner 0.4.5-1
icoutils 0.32.3-4
illogical-impulse-audio 1.0-1
illogical-impulse-backlight 1.0-1
illogical-impulse-basic 1.0-1
illogical-impulse-bibata-modern-classic-bin 2.0.6-1
illogical-impulse-fonts-themes 1.0-1
illogical-impulse-gnome 1.0-2
illogical-impulse-gtk 1.0-1
illogical-impulse-hyprland 1.0-4
illogical-impulse-kde 1.0-2
illogical-impulse-microtex-git r494.0e3707f-2
illogical-impulse-microtex-git-debug r494.0e3707f-2
illogical-impulse-portal 1.0-2
illogical-impulse-python 1.0-1
illogical-impulse-quickshell-git 0.1.0.r1-6
illogical-impulse-screencapture 1.0-1
illogical-impulse-toolkit 1.0-2
illogical-impulse-widgets 1.0-6
konsole 25.12.3-1
kvantum-theme-whitesur-git r151.1e4d960-1
lib32-nvidia-utils 595.58.03-1
libdispatch 6.2.2-1
libheif 1.21.2-2
libreoffice-fresh 26.2.2-2
libsigc++-3.0 3.8.0-1
linux 6.19.11.arch1-1
linux-firmware 20260309-1
linux-headers 6.19.11.arch1-1
linuxconsole 1.8.1-1
mpvpaper 1.8-1
nano 8.7.1-1
neofetch 7.1.0-2
neovim 0.11.7-1
network-manager-applet 1.36.0-1
nvidia-open-dkms 595.58.03-1
nvidia-utils 595.58.03-1
nwg-displays 0.3.28-1
nwg-look 1.0.6-1
pacman-contrib 1.13.1-1
pamixer 1.6-3
papirus-folders-catppuccin-git r30.f83671d1-2
parallel 20260322-1
pipewire-alsa 1:1.6.2-1
pipewire-jack 1:1.6.2-1
plasma-meta 6.6-1
python-colorama 0.4.6-6
python-pip 26.0.1-1
python-pipx 1.11.1-1
python-pytorch-opt-cuda 2.11.0-2
python-weasyprint 68.1-1
pywal-discord-git r100.6f968df-1
qbittorrent 5.1.4-2
qt5-imageformats 5.15.18+kde+r2-1
rnnoise 1:0.2-1
rofi 2.0.0-1
satty 0.20.1-2
sddm 0.21.0-6
sdl2_image 2.8.10-1
sdl2_mixer 2.8.1-2
sdl2_ttf 2.24.0-2
shotcut 26.2.26-1
spicetify-cli 2.43.1-2
spotify-adblock 1:1.0.3-2
sqlmap 1.10.3-1
sshpass 1.10-2
steam 1.0.0.85-6
sudo 1.9.17.p2-2
swayosd 0.3.1-1
tty-clock 2.3-2
udiskie 2.6.2-1
unzip 6.0-23
upscayl-bin 2.15.0-8
uwsm 0.26.4-1
vim 9.2.0283-1
virglrenderer 1.2.0-1
visual-studio-code-bin 1.113.0-1
whois 5.6.6-1
winboat-bin 0.9.0-1
winetricks 20260125-1
wireshark-qt 4.6.4-2
wl-clip-persist 0.5.0-2
xboxdrv 0.8.14-1
xdotool 4.20260303.1-1
xone-dkms-git 0.5.8.r0.gf2aa9fe-1
xorg-server-xvfb 21.1.21-1
xorg-xcursorgen 1.0.9-1
yay-bin 12.5.7-1
yay-bin-debug 12.5.7-1
zen-browser-bin 1.19.8b-1
zip 3.0-11
